            ingredient_id             |                                   name                                   
--------------------------------------+--------------------------------------------------------------------------
 08353fc6-32c7-4a28-b372-a27d215fa304 | b12 1000 mcg
 562d9c2c-4a3e-4690-8eea-5334efa87693 | paracetamol - pseudoephedrinehcl - chloropheniramine maleate - cafffeine
 b17fdfbc-71e8-4fa9-baee-4534585a6b67 | boron 0.6 mg
 b94a884c-3522-45c9-8596-383deabd24ae | rosehip ext.
 97e4edcc-e3b2-4435-b870-f3d135557f42 | hydrated silica
 30b78587-ac9a-48f1-ba44-62b0e8d2efd6 | zidovudine
 b0343d5f-152e-4f24-b944-a6e135a5c51d | vitamin (b12
 6194b5a1-d5ee-47c5-8b95-43fd40dc11d7 | fluocortolone
 cbda4d84-68b7-4015-b526-f0bff933f5b2 | vita a
 d3775263-bdd5-4203-bd42-f48925f1b5de | natural eggshell membrane
 a512500d-99c3-4f5c-817e-a444064b0db7 | sodium lauryl ether sulphate
 0f2fb7b2-6a83-4b0a-932c-76ccbc853e43 | lactofrin
 19521b9b-3853-45e9-86d1-43d891cdc969 | lignocaine-panthenol
 e5ccab7b-da4f-43e9-8717-518825d443bc | myoinositol
 1d841c06-61a3-48e9-b2fc-81f87daac046 | dimethylpolysiloxan
 cd5e6917-1f39-4cd8-85b0-e1100d32d4d6 | thyme extract powder
 948f874f-3cc5-46b8-8cd9-09825bee6899 | butylated hydroxy toluene
 79da6c9e-6cef-4cdd-8c71-486f90e81ef1 | ruxolitinib
 c0d21c30-c703-41c8-b3ad-19821a3f825d | menthol crystals rosemary caffeine
 8d2c5bf2-aa8c-402c-bb0c-b41a50b053e7 | isosorbide dinitrate
 7eaf6a73-c468-4ec7-a69e-83affa556014 | natural vit.c(liposomal)
 ec4048e5-050e-4a2e-b730-6f1346520819 | dipotussium chlorazepate
 16464646-0515-42b3-b17b-5e6e9fd26d43 | d-tubocurarine
 7e9da56f-826f-44b1-894d-f1b4c2eb3029 | brolucizumab
 3c20521f-7053-4485-80f0-142c271ef269 | high concentration  bovine colostrum
 2f3264cc-e124-4b88-b518-a7ee6d616bb0 | coconut extract
 4f5b7a1e-a339-408a-a94a-83789a8eda71 | epoetin beta 3000 i.u
 1af937c9-dce9-435b-a08d-b2596101bcaf | yarrow extract
 6c1ec5a9-5038-4ea5-b609-37bdbc9ef19a | pomegranate peel
 f5735fba-8a40-49ef-927d-3a7ece167937 | jaborandi
 eca4be30-a407-4f25-9ccc-60a03db360a7 | dasatinib
 878e12d6-9314-4f96-9b69-fd7e1920d063 | turpentine oil
 3808fa3b-ec2c-48de-b7d8-1bbd4b2efe1a | vinburnine
 75e25294-3754-44be-ad41-4fecc3216c6d | anti d (rho) immunoglobulins
 4781f174-a627-42c9-bdbf-1daaf6adbd82 | oil(oliv
 1448e53b-58e8-4d65-8946-57d933e74634 | milk powder
 b3c27e3d-0b3f-4ecc-b21b-c919e6f883ed | capilectine
 44f88988-e398-491b-9a85-5bd17a99db98 | vaccine cholera
 1608ef62-6dbf-4e88-8e33-3fdceaa592cb | natural diluted and isotonic seawater sterile
 ceff096f-62ff-47a5-b5df-46ad16fb04be | rosewater
 43ba8949-431b-4ddc-bf29-18dc5d88d223 | v.b1.300mg- vb6.150mg-vb7.35mcg-vb12.250mcg-folic acid 500mcg
 1011e13a-fb97-4b1a-96e8-e9c95d13947a | parrafin oil
 0d5db26f-772b-4ece-9f1a-ba1a1fe6ecdd | glibenclamide(glyburide)
 a8326d9f-aa01-4aab-bb64-be733a021ff5 | vitamin b12 6 mcg
 159cb81d-68c5-4a39-b55b-4ff2753fbbfc | anise oil
 35ab90f0-e83c-43b1-ac09-82c03e1e43ac | propafenone
 f1caff66-d40c-449f-9ff0-4289b99e8029 | minerals and multivitamins
 c4656412-f885-4ac4-819e-b0d35839df31 | vitamins-elements
 ebe76c8a-3f33-4c66-ad4a-c2bf5cad7267 | multi vit
